state,nodal_district,implementing_district,house_name,member_type,mp_name,sanction_amount,date_of_administrative_approval,work_name,unique_work_number,implementing_agency_name,work_status,date_of_receipt_of_work_proposal_from_mp,unit
Telangana,Adilabad,Adilabad,Lok Sabha,MP,MP_Telangana_06,910267.26,07-12-2024,Road Improvement,TS-MPLADS-0001,Rural Development Agency,Sanctioned,08-08-2024,Km
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,Lok Sabha,MP,MP_Telangana_12,1254912.31,17-09-2021,School Building Repair,TS-MPLADS-0002,Health Department,Under Execution,10-06-2021,Number
Telangana,Hanamkonda,Hanamkonda,Lok Sabha,MP,MP_Telangana_06,1224372.88,05-01-2022,Drainage Improvement,TS-MPLADS-0003,Municipal Administration,Under Execution,06-08-2021,Meter
Telangana,Hyderabad,Hyderabad,Lok Sabha,MP,MP_Telangana_10,824443.49,18-03-2024,Bus Shelter,TS-MPLADS-0004,Public Works Department,Completed,31-12-2023,Number
Telangana,Jagtial,Jagtial,Lok Sabha,MP,MP_Telangana_01,951974.21,08-01-2024,Road Improvement,TS-MPLADS-0005,District Panchayat,Sanctioned,01-08-2023,Km
Telangana,Jangaon,Jangaon,Lok Sabha,MP,MP_Telangana_05,3835041.29,18-11-2024,Community Hall,TS-MPLADS-0006,Public Works Department,Under Execution,12-07-2024,Number
Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,Lok Sabha,MP,MP_Telangana_03,602396.77,02-01-2025,Public Toilet,TS-MPLADS-0007,Public Works Department,Completed,16-08-2024,Number
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,Lok Sabha,MP,MP_Telangana_09,1904493.6,03-02-2022,Drainage Improvement,TS-MPLADS-0008,District Panchayat,Under Execution,20-09-2021,Meter
Telangana,Kamareddy,Kamareddy,Lok Sabha,MP,MP_Telangana_05,744358.26,18-12-2022,Street Lighting,TS-MPLADS-0009,Water Supply Department,Completed,08-07-2022,Number
Telangana,Karimnagar,Karimnagar,Lok Sabha,MP,MP_Telangana_06,449601.32,13-12-2021,Street Lighting,TS-MPLADS-0010,Education Department,Sanctioned,09-08-2021,Number
Telangana,Khammam,Khammam,Lok Sabha,MP,MP_Telangana_10,995556.7,20-02-2023,Health Centre Improvement,TS-MPLADS-0011,Rural Development Agency,In Progress,14-01-2023,Number
Telangana,Komaram Bheem Asifabad,Komaram Bheem Asifabad,Lok Sabha,MP,MP_Telangana_10,729179.82,06-02-2025,Bus Shelter,TS-MPLADS-0012,Local Body,In Progress,15-11-2024,Number
Telangana,Mahabubabad,Mahabubabad,Lok Sabha,MP,MP_Telangana_02,1521872.22,02-07-2024,School Building Repair,TS-MPLADS-0013,Water Supply Department,Completed,06-03-2024,Number
Telangana,Mahabubnagar,Mahabubnagar,Lok Sabha,MP,MP_Telangana_08,420345.0,19-01-2025,Bus Shelter,TS-MPLADS-0014,District Panchayat,Under Execution,30-08-2024,Number
Telangana,Mancherial,Mancherial,Lok Sabha,MP,MP_Telangana_07,817372.54,26-05-2023,Drainage Improvement,TS-MPLADS-0015,Municipal Administration,Completed,20-02-2023,Meter
Telangana,Medak,Medak,Lok Sabha,MP,MP_Telangana_06,332927.66,11-06-2024,Street Lighting,TS-MPLADS-0016,Rural Development Agency,Under Execution,11-02-2024,Number
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri,Lok Sabha,MP,MP_Telangana_07,1154386.22,31-03-2024,Drainage Improvement,TS-MPLADS-0017,Water Supply Department,In Progress,16-12-2023,Meter
Telangana,Mulugu,Mulugu,Lok Sabha,MP,MP_Telangana_06,675126.21,02-05-2021,Public Toilet,TS-MPLADS-0018,District Panchayat,In Progress,22-02-2021,Number
Telangana,Nagarkurnool,Nagarkurnool,Lok Sabha,MP,MP_Telangana_03,1087255.69,05-01-2025,Health Centre Improvement,TS-MPLADS-0019,Water Supply Department,In Progress,21-12-2024,Number
Telangana,Nalgonda,Nalgonda,Lok Sabha,MP,MP_Telangana_08,1291658.02,06-08-2022,Health Centre Improvement,TS-MPLADS-0020,Education Department,Under Execution,15-05-2022,Number
Telangana,Narayanpet,Narayanpet,Lok Sabha,MP,MP_Telangana_05,1760039.83,23-04-2024,Health Centre Improvement,TS-MPLADS-0021,District Panchayat,Completed,04-02-2024,Number
Telangana,Nirmal,Nirmal,Lok Sabha,MP,MP_Telangana_02,526403.41,08-03-2021,Drinking Water Facility,TS-MPLADS-0022,Health Department,In Progress,08-02-2021,Number
Telangana,Nizamabad,Nizamabad,Lok Sabha,MP,MP_Telangana_07,828272.05,14-03-2022,Bus Shelter,TS-MPLADS-0023,Public Works Department,Sanctioned,02-10-2021,Number
Telangana,Peddapalli,Peddapalli,Lok Sabha,MP,MP_Telangana_05,517378.77,08-03-2023,Street Lighting,TS-MPLADS-0024,Health Department,Sanctioned,29-01-2023,Number
Telangana,Rajanna Sircilla,Rajanna Sircilla,Lok Sabha,MP,MP_Telangana_02,314713.67,28-02-2023,Public Toilet,TS-MPLADS-0025,District Panchayat,Under Execution,08-09-2022,Number
Telangana,Rangareddy,Rangareddy,Lok Sabha,MP,MP_Telangana_09,700822.63,27-06-2025,Drinking Water Facility,TS-MPLADS-0026,Water Supply Department,Under Execution,25-03-2025,Number
Telangana,Sangareddy,Sangareddy,Lok Sabha,MP,MP_Telangana_09,865502.83,09-10-2024,School Building Repair,TS-MPLADS-0027,Health Department,In Progress,16-08-2024,Number
Telangana,Siddipet,Siddipet,Lok Sabha,MP,MP_Telangana_11,939350.03,06-09-2021,Road Improvement,TS-MPLADS-0028,Health Department,Completed,13-06-2021,Km
Telangana,Suryapet,Suryapet,Lok Sabha,MP,MP_Telangana_07,568571.94,30-10-2022,Bus Shelter,TS-MPLADS-0029,Public Works Department,Under Execution,05-06-2022,Number
Telangana,Vikarabad,Vikarabad,Lok Sabha,MP,MP_Telangana_09,759391.16,14-10-2024,Road Improvement,TS-MPLADS-0030,District Panchayat,Sanctioned,13-07-2024,Km
Telangana,Wanaparthy,Wanaparthy,Lok Sabha,MP,MP_Telangana_08,1747291.04,16-10-2023,Community Hall,TS-MPLADS-0031,Water Supply Department,In Progress,20-09-2023,Number
Telangana,Warangal,Warangal,Lok Sabha,MP,MP_Telangana_06,937642.99,21-04-2021,Bus Shelter,TS-MPLADS-0032,Health Department,Completed,12-03-2021,Number
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,Lok Sabha,MP,MP_Telangana_08,399692.32,03-08-2021,Public Toilet,TS-MPLADS-0033,District Panchayat,Under Execution,25-06-2021,Number
Telangana,Adilabad,Adilabad,Lok Sabha,MP,MP_Telangana_05,1873424.31,09-12-2023,Health Centre Improvement,TS-MPLADS-0034,District Panchayat,Completed,15-09-2023,Number
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,Lok Sabha,MP,MP_Telangana_06,2789941.36,07-09-2025,Community Hall,TS-MPLADS-0035,Rural Development Agency,Completed,18-06-2025,Number
Telangana,Hanamkonda,Hanamkonda,Lok Sabha,MP,MP_Telangana_06,1387307.56,10-08-2023,School Building Repair,TS-MPLADS-0036,Municipal Administration,Sanctioned,08-04-2023,Number
Telangana,Hyderabad,Hyderabad,Lok Sabha,MP,MP_Telangana_04,677131.42,10-08-2023,Drainage Improvement,TS-MPLADS-0037,Education Department,Sanctioned,16-03-2023,Meter
Telangana,Jagtial,Jagtial,Lok Sabha,MP,MP_Telangana_01,1452219.51,16-03-2023,Library Building,TS-MPLADS-0038,Rural Development Agency,Under Execution,17-01-2023,Number
Telangana,Jangaon,Jangaon,Lok Sabha,MP,MP_Telangana_07,500824.5,27-10-2021,Drainage Improvement,TS-MPLADS-0039,Health Department,Sanctioned,27-08-2021,Meter
Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,Lok Sabha,MP,MP_Telangana_08,4641632.8,14-06-2022,Community Hall,TS-MPLADS-0040,Local Body,Under Execution,24-04-2022,Number
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,Lok Sabha,MP,MP_Telangana_11,528414.71,25-10-2021,Drinking Water Facility,TS-MPLADS-0041,Municipal Administration,Completed,03-07-2021,Number
Telangana,Kamareddy,Kamareddy,Lok Sabha,MP,MP_Telangana_05,1875368.91,24-03-2025,Community Hall,TS-MPLADS-0042,Public Works Department,Under Execution,02-08-2023,Number
Telangana,Karimnagar,Karimnagar,Lok Sabha,MP,MP_Telangana_12,1716346.57,07-08-2022,Health Centre Improvement,TS-MPLADS-0043,Education Department,Sanctioned,24-06-2022,Number
Telangana,Khammam,Khammam,Lok Sabha,MP,MP_Telangana_12,1753458.95,06-09-2022,Health Centre Improvement,TS-MPLADS-0044,Education Department,Completed,12-03-2022,Number
Telangana,Komaram Bheem Asifabad,Komaram Bheem Asifabad,Lok Sabha,MP,MP_Telangana_12,1274721.0,03-07-2023,School Building Repair,TS-MPLADS-0045,Rural Development Agency,Sanctioned,10-01-2023,Number
Telangana,Mahabubabad,Mahabubabad,Lok Sabha,MP,MP_Telangana_11,1105214.19,11-04-2025,Library Building,TS-MPLADS-0046,Public Works Department,In Progress,23-02-2025,Number
Telangana,Mahabubnagar,Mahabubnagar,Lok Sabha,MP,MP_Telangana_08,1030996.8,11-10-2024,Road Improvement,TS-MPLADS-0047,Local Body,Completed,05-08-2024,Km
Telangana,Mancherial,Mancherial,Lok Sabha,MP,MP_Telangana_04,456010.65,05-09-2024,Bus Shelter,TS-MPLADS-0048,Local Body,Completed,23-06-2024,Number
Telangana,Medak,Medak,Lok Sabha,MP,MP_Telangana_10,657371.04,18-08-2021,Road Improvement,TS-MPLADS-0049,Health Department,Completed,28-07-2021,Km
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri,Lok Sabha,MP,MP_Telangana_11,1308315.05,25-02-2024,Drinking Water Facility,TS-MPLADS-0050,District Panchayat,In Progress,16-10-2023,Number
Telangana,Mulugu,Mulugu,Lok Sabha,MP,MP_Telangana_12,1497313.43,17-10-2024,Health Centre Improvement,TS-MPLADS-0051,Public Works Department,Completed,14-08-2024,Number
Telangana,Nagarkurnool,Nagarkurnool,Lok Sabha,MP,MP_Telangana_03,1548319.0,04-03-2021,Health Centre Improvement,TS-MPLADS-0052,Rural Development Agency,Sanctioned,24-01-2021,Number
Telangana,Nalgonda,Nalgonda,Lok Sabha,MP,MP_Telangana_07,1116651.54,25-09-2021,Health Centre Improvement,TS-MPLADS-0053,Water Supply Department,Sanctioned,27-07-2021,Number
Telangana,Narayanpet,Narayanpet,Lok Sabha,MP,MP_Telangana_10,826744.37,11-05-2022,Street Lighting,TS-MPLADS-0054,Rural Development Agency,Sanctioned,06-12-2021,Number
Telangana,Nirmal,Nirmal,Lok Sabha,MP,MP_Telangana_02,1186466.98,02-11-2021,Library Building,TS-MPLADS-0055,Rural Development Agency,In Progress,11-08-2021,Number
Telangana,Nizamabad,Nizamabad,Lok Sabha,MP,MP_Telangana_06,1810866.59,28-06-2022,Health Centre Improvement,TS-MPLADS-0056,District Panchayat,Under Execution,27-05-2022,Number
Telangana,Peddapalli,Peddapalli,Lok Sabha,MP,MP_Telangana_12,832176.18,22-10-2022,Drainage Improvement,TS-MPLADS-0057,Education Department,Sanctioned,02-05-2022,Meter
Telangana,Rajanna Sircilla,Rajanna Sircilla,Lok Sabha,MP,MP_Telangana_02,2580445.75,14-05-2024,Community Hall,TS-MPLADS-0058,Health Department,In Progress,14-12-2023,Number
Telangana,Rangareddy,Rangareddy,Lok Sabha,MP,MP_Telangana_08,519281.0,08-08-2025,Road Improvement,TS-MPLADS-0059,Health Department,Under Execution,01-07-2025,Km
Telangana,Sangareddy,Sangareddy,Lok Sabha,MP,MP_Telangana_10,670076.18,01-07-2023,Street Lighting,TS-MPLADS-0060,Health Department,Completed,06-03-2023,Number
Telangana,Siddipet,Siddipet,Lok Sabha,MP,MP_Telangana_10,3961729.0300000003,02-01-2025,School Building Repair,TS-MPLADS-0061,District Panchayat,Sanctioned,11-11-2024,Number
Telangana,Suryapet,Suryapet,Lok Sabha,MP,MP_Telangana_11,1517690.46,13-04-2024,Bus Shelter,TS-MPLADS-0062,District Panchayat,In Progress,28-10-2023,Number
Telangana,Vikarabad,Vikarabad,Lok Sabha,MP,MP_Telangana_06,2418866.01,15-03-2023,Community Hall,TS-MPLADS-0063,Local Body,Under Execution,29-09-2022,Number
Telangana,Wanaparthy,Wanaparthy,Lok Sabha,MP,MP_Telangana_03,764696.43,22-05-2023,School Building Repair,TS-MPLADS-0064,Local Body,Sanctioned,11-02-2023,Number
Telangana,Warangal,Warangal,Lok Sabha,MP,MP_Telangana_02,663618.18,11-04-2025,Library Building,TS-MPLADS-0065,Public Works Department,Sanctioned,20-10-2024,Number
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,Lok Sabha,MP,MP_Telangana_10,566349.71,18-10-2021,Drinking Water Facility,TS-MPLADS-0066,Local Body,Completed,06-09-2021,Number
Telangana,Adilabad,Adilabad,Lok Sabha,MP,MP_Telangana_02,1314965.57,04-08-2025,Health Centre Improvement,TS-MPLADS-0067,Education Department,Completed,15-04-2025,Number
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,Lok Sabha,MP,MP_Telangana_01,546587.3,25-10-2021,Street Lighting,TS-MPLADS-0068,Municipal Administration,Completed,16-07-2021,Number
Telangana,Hanamkonda,Hanamkonda,Lok Sabha,MP,MP_Telangana_08,1425397.23,22-06-2021,Library Building,TS-MPLADS-0069,Water Supply Department,In Progress,01-04-2021,Number
Telangana,Hyderabad,Hyderabad,Lok Sabha,MP,MP_Telangana_07,1000029.54,19-12-2022,Library Building,TS-MPLADS-0070,Water Supply Department,Under Execution,25-06-2022,Number
Telangana,Jagtial,Jagtial,Lok Sabha,MP,MP_Telangana_03,2409860.44,16-06-2021,Drainage Improvement,TS-MPLADS-0071,Municipal Administration,Completed,15-03-2021,Meter
Telangana,Jangaon,Jangaon,Lok Sabha,MP,MP_Telangana_05,382809.73,17-02-2024,Public Toilet,TS-MPLADS-0072,Rural Development Agency,In Progress,30-08-2023,Number
Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,Lok Sabha,MP,MP_Telangana_02,2275876.25,18-11-2023,Health Centre Improvement,TS-MPLADS-0073,Rural Development Agency,Completed,10-06-2023,Number
